x-axis,F1
Hertz,dBV
+1.760000E+03,-59.528377E+00
+1.765000E+03,-59.481465E+00
+1.770000E+03,-59.434553E+00
+1.775000E+03,-59.387641E+00
+1.780000E+03,-59.340729E+00
+1.785000E+03,-59.293817E+00
+1.790000E+03,-59.246905E+00
+1.795000E+03,-59.199993E+00
+1.800000E+03,-59.153081E+00
+1.805000E+03,-59.106169E+00
+1.810000E+03,-59.059257E+00
+1.815000E+03,-58.181591E+00
+1.820000E+03,-56.758711E+00
+1.825000E+03,-55.335831E+00
+1.830000E+03,-53.912951E+00
+1.835000E+03,-52.490071E+00
+1.840000E+03,-51.067191E+00
+1.845000E+03,-49.644311E+00
+1.850000E+03,-48.221431E+00
+1.855000E+03,-46.798551E+00
+1.860000E+03,-45.375671E+00
+1.865000E+03,-43.952791E+00
+1.870000E+03,-42.529911E+00
+1.875000E+03,-41.107031E+00
+1.880000E+03,-39.684151E+00
+1.885000E+03,-38.261271E+00
+1.890000E+03,-36.838391E+00
+1.895000E+03,-35.415511E+00
+1.900000E+03,-33.992631E+00
+1.905000E+03,-32.569751E+00
+1.910000E+03,-31.759833E+00
+1.915000E+03,-31.492889E+00
+1.920000E+03,-31.225945E+00
+1.925000E+03,-30.959001E+00
+1.930000E+03,-30.692057E+00
+1.935000E+03,-30.425113E+00
+1.940000E+03,-30.158169E+00
+1.945000E+03,-29.891225E+00
+1.950000E+03,-29.624281E+00
+1.955000E+03,-29.357337E+00
+1.960000E+03,-29.090393E+00
+1.965000E+03,-28.823449E+00
+1.970000E+03,-28.556505E+00
+1.975000E+03,-28.289561E+00
+1.980000E+03,-28.022617E+00
+1.985000E+03,-27.755673E+00
+1.990000E+03,-27.488729E+00
+1.995000E+03,-27.221785E+00
+2.000000E+03,-26.954841E+00
+2.005000E+03,-26.947820E+00
+2.010000E+03,-27.249900E+00
+2.015000E+03,-27.551980E+00
+2.020000E+03,-27.854060E+00
+2.025000E+03,-28.156140E+00
+2.030000E+03,-28.458220E+00
+2.035000E+03,-28.760300E+00
+2.040000E+03,-29.062380E+00
+2.045000E+03,-29.364460E+00
+2.050000E+03,-29.666540E+00
+2.055000E+03,-29.968620E+00
+2.060000E+03,-30.270700E+00
+2.065000E+03,-30.572780E+00
+2.070000E+03,-30.874860E+00
+2.075000E+03,-31.176940E+00
+2.080000E+03,-31.479020E+00
+2.085000E+03,-31.781100E+00
+2.090000E+03,-32.083180E+00
+2.095000E+03,-32.385260E+00
+2.100000E+03,-33.121457E+00
+2.105000E+03,-34.556113E+00
+2.110000E+03,-35.990769E+00
+2.115000E+03,-37.425425E+00
+2.120000E+03,-38.860081E+00
+2.125000E+03,-40.294737E+00
+2.130000E+03,-41.729393E+00
+2.135000E+03,-43.164049E+00
+2.140000E+03,-44.598705E+00
+2.145000E+03,-46.033361E+00
+2.150000E+03,-47.468017E+00
+2.155000E+03,-48.902673E+00
+2.160000E+03,-50.337329E+00
+2.165000E+03,-51.771985E+00
+2.170000E+03,-53.206641E+00
+2.175000E+03,-54.641297E+00
+2.180000E+03,-56.075953E+00
+2.185000E+03,-57.510609E+00
+2.190000E+03,-58.945265E+00
+2.195000E+03,-59.935444E+00
+2.200000E+03,-59.935444E+00
+2.205000E+03,-59.935444E+00
+2.210000E+03,-59.935444E+00
+2.215000E+03,-59.935444E+00
+2.220000E+03,-59.935444E+00
+2.225000E+03,-59.935444E+00
+2.230000E+03,-59.935444E+00
+2.235000E+03,-59.935444E+00
+2.240000E+03,-59.935444E+00
+2.245000E+03,-59.935444E+00
+2.250000E+03,-59.935444E+00
+2.255000E+03,-59.935444E+00
+2.260000E+03,-59.935444E+00
+2.265000E+03,-59.935444E+00
+2.270000E+03,-59.935444E+00
+2.275000E+03,-59.935444E+00
+2.280000E+03,-59.935444E+00
+2.285000E+03,-59.935444E+00
+2.290000E+03,-59.935444E+00
+2.295000E+03,-59.935444E+00
+2.300000E+03,-59.935444E+00
+2.305000E+03,-59.935444E+00
+2.310000E+03,-59.935444E+00
